,Date,City,Raw Number of Posts,Residual After Controlling for Time,Good Sunset
Los_Angeles2016-01-10,2016-01-10,Los_Angeles,235,-0.6879874899687695,0.0
Los_Angeles2016-01-11,2016-01-11,Los_Angeles,1052,1.394117302327213,1.0
Los_Angeles2016-01-12,2016-01-12,Los_Angeles,427,0.07908092075374118,0.0
Los_Angeles2016-01-14,2016-01-14,Los_Angeles,493,0.2148506637503904,0.0
Los_Angeles2016-01-15,2016-01-15,Los_Angeles,458,0.04305388490789652,0.0
Los_Angeles2016-01-16,2016-01-16,Los_Angeles,498,0.1479627363463265,0.0
Los_Angeles2016-01-17,2016-01-17,Los_Angeles,491,-0.13603287067198178,0.0
Los_Angeles2016-01-18,2016-01-18,Los_Angeles,310,-0.2647876644777657,0.0
Los_Angeles2016-01-23,2016-01-23,Los_Angeles,490,0.11507946695095761,0.0
Los_Angeles2016-01-24,2016-01-24,Los_Angeles,700,0.31184519661168975,0.0
Los_Angeles2016-01-25,2016-01-25,Los_Angeles,526,0.19865085930616622,0.0
Los_Angeles2016-01-26,2016-01-26,Los_Angeles,504,0.21942477944900296,0.0
Los_Angeles2016-01-27,2016-01-27,Los_Angeles,872,1.0058481680394042,1.0
Los_Angeles2016-01-28,2016-01-28,Los_Angeles,756,0.7674301503514278,1.0
Los_Angeles2016-01-29,2016-01-29,Los_Angeles,725,0.6045978058848611,1.0
Los_Angeles2016-01-30,2016-01-30,Los_Angeles,554,0.24223390698351377,0.0
Los_Angeles2016-01-31,2016-01-31,Los_Angeles,540,-0.05711747083755081,0.0
Los_Angeles2016-02-01,2016-02-01,Los_Angeles,625,0.4035702873190554,1.0
Los_Angeles2016-02-02,2016-02-02,Los_Angeles,449,0.08332875815754748,0.0
Los_Angeles2016-02-03,2016-02-03,Los_Angeles,410,-0.03172112053682408,0.0
Los_Angeles2016-02-04,2016-02-04,Los_Angeles,607,0.4233663650276278,1.0
Los_Angeles2016-02-05,2016-02-05,Los_Angeles,526,0.14990439366764519,0.0
Los_Angeles2016-02-06,2016-02-06,Los_Angeles,656,0.4544950510152139,1.0
Los_Angeles2016-02-07,2016-02-07,Los_Angeles,575,0.0068884615516735526,0.0
Los_Angeles2016-02-08,2016-02-08,Los_Angeles,600,0.3348248648593095,1.0
Los_Angeles2016-02-09,2016-02-09,Los_Angeles,958,1.19768883049173,1.0
Los_Angeles2016-02-10,2016-02-10,Los_Angeles,581,0.3340472995570718,0.0
Los_Angeles2016-02-11,2016-02-11,Los_Angeles,544,0.2709587752124569,0.0
